business_date,store_id,category_name,product_name,authoritative_price,quantity,revenue_at_period_price
2024-03-01,S01,Spices & Masala,Aachi Chilli Powder 50g,93.89,2.000,187.78
2024-03-01,S01,Spices & Masala,Aachi Turmeric Powder 500g,41.91,2.000,83.82
2024-03-01,S01,Staples & Grains,Aashirvaad Chana Dal 1kg,885.95,4.000,3543.80
2024-03-01,S01,Staples & Grains,Aashirvaad Sona Masoori Rice 10kg,1110.62,2.000,2221.24
2024-03-01,S01,Dairy,Amul Cheese Slices 1L,512.27,2.000,1024.54
2024-03-01,S01,Confectionery,Amul Choco Candy Pack 50g,126.03,-2.000,-252.06
2024-03-01,S01,Confectionery,Amul Choco Milk Chocolate 50g,263.07,3.000,789.21
2024-03-01,S01,Dairy,Amul Curd 1L,203.91,2.000,407.82
2024-03-01,S01,Dairy,Amul Curd 500ml,259.59,1.000,259.59
2024-03-01,S01,Dairy,Amul Ghee 200ml,245.75,2.000,491.50
2024-03-01,S01,Dairy,Amul Ghee 500ml,96.95,4.000,387.80
2024-03-01,S01,Dairy,Amul Paneer 200g,404.48,3.000,1213.44
2024-03-01,S01,Biscuits & Snacks,Anmol Cookies 400g,10.57,0.000,0.00
2024-03-01,S01,Biscuits & Snacks,Bikano Khakhra 400g,91.95,4.000,367.80
2024-03-01,S01,Biscuits & Snacks,Bikano Namkeen Mix 150g,15.95,3.000,47.85
2024-03-01,S01,Beverages,Bisleri Cola 500g,57.95,-3.000,-173.85
2024-03-01,S01,Beverages,Bisleri Mineral Water 1L,478.95,2.000,957.90
2024-03-01,S01,Biscuits & Snacks,Britannia Glucose Biscuit 60g,30.95,2.000,61.90
2024-03-01,S01,Beverages,Bru Soda 500g,68.95,0.000,0.00
2024-03-01,S01,Beverages,Bru Soda 600ml,61.09,1.000,61.09
2024-03-01,S01,Confectionery,Cadbury Candy Pack 25g,331.55,-1.000,-331.55
2024-03-01,S01,Confectionery,Cadbury Dark Chocolate 25g,259.08,2.000,518.16
2024-03-01,S01,Stationery & General,Camlin Ball Pen Pack of 5,373.95,3.000,1121.85
2024-03-01,S01,Stationery & General,Camlin Ball Pen Pack of 5,234.95,3.000,704.85
2024-03-01,S01,Stationery & General,Camlin Notebook Pack of 5,368.87,2.000,737.74
2024-03-01,S01,Spices & Masala,Catch Chilli Powder 200g,347.08,6.000,2082.48
