reporting_period,product_name,revenue_at_historical_price
2024-03,24 Mantra Basmati Rice 5kg,41261.30
2024-03,24 Mantra Chana Dal 1kg,23509.77
2024-03,24 Mantra Chana Dal 5kg,53275.74
2024-03,24 Mantra Poha 10kg,129126.02
2024-03,24 Mantra Poha 5kg,100373.76
2024-03,24 Mantra Sona Masoori Rice 10kg,72502.46
2024-03,24 Mantra Sona Masoori Rice 5kg,115711.18
2024-03,24 Mantra Toor Dal 10kg,233402.40
2024-03,24 Mantra Whole Wheat Atta 1kg,193116.44
2024-03,Aachi Chilli Powder 100g,3624.50
2024-03,Aachi Chilli Powder 200g,34197.90
2024-03,Aachi Chilli Powder 50g,8919.55
2024-03,Aachi Coriander Powder 200g,30186.90
2024-03,Aachi Coriander Powder 50g,21946.47
2024-03,Aachi Sambar Powder 100g,23469.15
2024-03,Aachi Sambar Powder 500g,83440.83
2024-03,Aachi Sambar Powder 50g,4706.10
2024-03,Aachi Turmeric Powder 500g,25767.55
2024-03,Aachi Turmeric Powder 50g,23576.75
2024-03,Aashirvaad Basmati Rice 10kg,62801.40
2024-03,Aashirvaad Basmati Rice 5kg,13314.22
2024-03,Aashirvaad Chana Dal 10kg,162834.00
2024-03,Aashirvaad Chana Dal 1kg,190920.59
2024-03,Aashirvaad Poha 5kg,196936.00
2024-03,Aashirvaad Sona Masoori Rice 10kg,337074.15
2024-03,Aashirvaad Sona Masoori Rice 1kg,102271.20
2024-03,Aashirvaad Toor Dal 10kg,215941.14
2024-03,Aashirvaad Toor Dal 1kg,297185.37
2024-03,Aashirvaad Whole Wheat Atta 10kg,56647.35
2024-03,Aashirvaad Whole Wheat Atta 1kg,364589.62
2024-03,Aashirvaad Whole Wheat Atta 5kg,97332.48
2024-03,Amul Butter 200g,48351.72
2024-03,Amul Butter 500g,118184.87
2024-03,Amul Cheese Slices 1L,50202.46
2024-03,Amul Cheese Slices 200g,17744.38
2024-03,Amul Cheese Slices 500g,25272.03
2024-03,Amul Choco Candy Pack 25g,16368.75
2024-03,Amul Choco Candy Pack 50g,14619.48
2024-03,Amul Choco Candy Pack Pack of 10,16748.90
2024-03,Amul Choco Chewing Gum 25g,39285.40
2024-03,Amul Choco Chewing Gum Pack of 10,16943.31
2024-03,Amul Choco Milk Chocolate 100g,29424.46
2024-03,Amul Choco Milk Chocolate 25g,21984.56
2024-03,Amul Choco Milk Chocolate 50g,69192.24
2024-03,Amul Choco Milk Chocolate Pack of 10,76726.14
2024-03,Amul Curd 1L,22430.10
2024-03,Amul Curd 500ml,133427.77
2024-03,Amul Ghee 1L,9608.20
2024-03,Amul Ghee 200g,3435.21
2024-03,Amul Ghee 200ml,32439.00
2024-03,Amul Ghee 500ml,10858.40
2024-03,Amul Paneer 1L,18753.17
2024-03,Amul Paneer 200g,91311.30
2024-03,Amul Paneer 500g,49447.60
2024-03,Amul Toned Milk 1L,49912.80
2024-03,Anmol Cookies 150g,875.60
2024-03,Anmol Cookies 400g,1257.83
2024-03,Anmol Cream Biscuit 100g,5186.10
2024-03,Anmol Cream Biscuit 150g,4499.78
2024-03,Anmol Cream Biscuit 250g,16720.89
2024-03,Anmol Cream Biscuit 400g,1479.08
2024-03,Anmol Cream Biscuit 60g,8679.31
2024-03,Anmol Glucose Biscuit 100g,985.05
2024-03,Anmol Glucose Biscuit 250g,8179.50
2024-03,Anmol Khakhra 60g,5908.80
