store_id,store_name,category_name,day_of_week,business_month,revenue_inr
S01,Annapurna Jayanagar,Baby Care,Friday,2024-10,164362.02
S01,Annapurna Jayanagar,Baby Care,Monday,2024-10,104815.48
S01,Annapurna Jayanagar,Baby Care,Saturday,2024-10,201028.25
S01,Annapurna Jayanagar,Baby Care,Sunday,2024-10,213620.41
S01,Annapurna Jayanagar,Baby Care,Thursday,2024-10,134991.36
S01,Annapurna Jayanagar,Baby Care,Tuesday,2024-10,164807.20
S01,Annapurna Jayanagar,Baby Care,Wednesday,2024-10,123316.32
S01,Annapurna Jayanagar,Bakery,Friday,2024-10,20775.21
S01,Annapurna Jayanagar,Bakery,Monday,2024-10,18459.03
S01,Annapurna Jayanagar,Bakery,Saturday,2024-10,32838.81
S01,Annapurna Jayanagar,Bakery,Sunday,2024-10,27773.70
S01,Annapurna Jayanagar,Bakery,Thursday,2024-10,22043.25
S01,Annapurna Jayanagar,Bakery,Tuesday,2024-10,18485.90
S01,Annapurna Jayanagar,Bakery,Wednesday,2024-10,19731.84
S01,Annapurna Jayanagar,Beverages,Friday,2024-10,47884.18
S01,Annapurna Jayanagar,Beverages,Monday,2024-10,37608.63
S01,Annapurna Jayanagar,Beverages,Saturday,2024-10,39714.55
S01,Annapurna Jayanagar,Beverages,Sunday,2024-10,49371.71
S01,Annapurna Jayanagar,Beverages,Thursday,2024-10,53371.43
S01,Annapurna Jayanagar,Beverages,Tuesday,2024-10,26182.35
S01,Annapurna Jayanagar,Beverages,Wednesday,2024-10,43171.24
S01,Annapurna Jayanagar,Biscuits & Snacks,Friday,2024-10,13696.60
S01,Annapurna Jayanagar,Biscuits & Snacks,Monday,2024-10,9650.98
S01,Annapurna Jayanagar,Biscuits & Snacks,Saturday,2024-10,17444.81
S01,Annapurna Jayanagar,Biscuits & Snacks,Sunday,2024-10,18001.40
S01,Annapurna Jayanagar,Biscuits & Snacks,Thursday,2024-10,12416.07
S01,Annapurna Jayanagar,Biscuits & Snacks,Tuesday,2024-10,13275.68
S01,Annapurna Jayanagar,Biscuits & Snacks,Wednesday,2024-10,11751.32
S01,Annapurna Jayanagar,Confectionery,Friday,2024-10,38338.91
S01,Annapurna Jayanagar,Confectionery,Monday,2024-10,24531.99
S01,Annapurna Jayanagar,Confectionery,Saturday,2024-10,43193.78
S01,Annapurna Jayanagar,Confectionery,Sunday,2024-10,35615.10
S01,Annapurna Jayanagar,Confectionery,Thursday,2024-10,24844.48
S01,Annapurna Jayanagar,Confectionery,Tuesday,2024-10,28918.58
S01,Annapurna Jayanagar,Confectionery,Wednesday,2024-10,25196.67
S01,Annapurna Jayanagar,Dairy,Friday,2024-10,61079.92
S01,Annapurna Jayanagar,Dairy,Monday,2024-10,55875.00
S01,Annapurna Jayanagar,Dairy,Saturday,2024-10,70195.65
S01,Annapurna Jayanagar,Dairy,Sunday,2024-10,92482.59
S01,Annapurna Jayanagar,Dairy,Thursday,2024-10,44922.47
S01,Annapurna Jayanagar,Dairy,Tuesday,2024-10,65002.34
S01,Annapurna Jayanagar,Dairy,Wednesday,2024-10,61655.18
S01,Annapurna Jayanagar,Edible Oils,Friday,2024-10,148050.44
S01,Annapurna Jayanagar,Edible Oils,Monday,2024-10,127333.37
S01,Annapurna Jayanagar,Edible Oils,Saturday,2024-10,184763.36
S01,Annapurna Jayanagar,Edible Oils,Sunday,2024-10,199998.38
S01,Annapurna Jayanagar,Edible Oils,Thursday,2024-10,121424.76
S01,Annapurna Jayanagar,Edible Oils,Tuesday,2024-10,108107.05
S01,Annapurna Jayanagar,Edible Oils,Wednesday,2024-10,140589.63
S01,Annapurna Jayanagar,Frozen & Ready to Eat,Friday,2024-10,47010.75
S01,Annapurna Jayanagar,Frozen & Ready to Eat,Monday,2024-10,44287.47
S01,Annapurna Jayanagar,Frozen & Ready to Eat,Saturday,2024-10,65220.21
S01,Annapurna Jayanagar,Frozen & Ready to Eat,Sunday,2024-10,66351.10
S01,Annapurna Jayanagar,Frozen & Ready to Eat,Thursday,2024-10,47999.94
S01,Annapurna Jayanagar,Frozen & Ready to Eat,Tuesday,2024-10,55390.28
S01,Annapurna Jayanagar,Frozen & Ready to Eat,Wednesday,2024-10,54075.07
S01,Annapurna Jayanagar,Fruits & Vegetables,Friday,2024-10,26178.87
S01,Annapurna Jayanagar,Fruits & Vegetables,Monday,2024-10,23854.78
S01,Annapurna Jayanagar,Fruits & Vegetables,Saturday,2024-10,36750.82
S01,Annapurna Jayanagar,Fruits & Vegetables,Sunday,2024-10,43434.77
S01,Annapurna Jayanagar,Fruits & Vegetables,Thursday,2024-10,27153.46
S01,Annapurna Jayanagar,Fruits & Vegetables,Tuesday,2024-10,23286.33
S01,Annapurna Jayanagar,Fruits & Vegetables,Wednesday,2024-10,28819.36
S01,Annapurna Jayanagar,Home Care,Friday,2024-10,59367.43
S01,Annapurna Jayanagar,Home Care,Monday,2024-10,39746.88
S01,Annapurna Jayanagar,Home Care,Saturday,2024-10,77012.15
S01,Annapurna Jayanagar,Home Care,Sunday,2024-10,61117.98
S01,Annapurna Jayanagar,Home Care,Thursday,2024-10,48678.18
S01,Annapurna Jayanagar,Home Care,Tuesday,2024-10,49991.36
S01,Annapurna Jayanagar,Home Care,Wednesday,2024-10,44461.73
S01,Annapurna Jayanagar,Personal Care,Friday,2024-10,61325.97
S01,Annapurna Jayanagar,Personal Care,Monday,2024-10,41596.31
S01,Annapurna Jayanagar,Personal Care,Saturday,2024-10,72637.36
S01,Annapurna Jayanagar,Personal Care,Sunday,2024-10,72033.53
S01,Annapurna Jayanagar,Personal Care,Thursday,2024-10,69534.86
S01,Annapurna Jayanagar,Personal Care,Tuesday,2024-10,60908.86
S01,Annapurna Jayanagar,Personal Care,Wednesday,2024-10,58149.90
S01,Annapurna Jayanagar,Spices & Masala,Friday,2024-10,28691.53
S01,Annapurna Jayanagar,Spices & Masala,Monday,2024-10,27111.90
S01,Annapurna Jayanagar,Spices & Masala,Saturday,2024-10,35471.04
S01,Annapurna Jayanagar,Spices & Masala,Sunday,2024-10,41619.31
S01,Annapurna Jayanagar,Spices & Masala,Thursday,2024-10,32150.06
S01,Annapurna Jayanagar,Spices & Masala,Tuesday,2024-10,26016.74
S01,Annapurna Jayanagar,Spices & Masala,Wednesday,2024-10,18835.14
S01,Annapurna Jayanagar,Staples & Grains,Friday,2024-10,181017.51
S01,Annapurna Jayanagar,Staples & Grains,Monday,2024-10,109283.47
S01,Annapurna Jayanagar,Staples & Grains,Saturday,2024-10,223964.17
S01,Annapurna Jayanagar,Staples & Grains,Sunday,2024-10,217643.30
S01,Annapurna Jayanagar,Staples & Grains,Thursday,2024-10,156165.10
S01,Annapurna Jayanagar,Staples & Grains,Tuesday,2024-10,140575.38
S01,Annapurna Jayanagar,Staples & Grains,Wednesday,2024-10,182690.43
S01,Annapurna Jayanagar,Stationery & General,Friday,2024-10,43714.40
S01,Annapurna Jayanagar,Stationery & General,Monday,2024-10,38891.96
S01,Annapurna Jayanagar,Stationery & General,Saturday,2024-10,56129.17
S01,Annapurna Jayanagar,Stationery & General,Sunday,2024-10,59968.66
S01,Annapurna Jayanagar,Stationery & General,Thursday,2024-10,37394.12
S01,Annapurna Jayanagar,Stationery & General,Tuesday,2024-10,37814.30
S01,Annapurna Jayanagar,Stationery & General,Wednesday,2024-10,35638.06
S02,Annapurna Koramangala,Baby Care,Friday,2024-10,86502.50
S02,Annapurna Koramangala,Baby Care,Monday,2024-10,81043.93
S02,Annapurna Koramangala,Baby Care,Saturday,2024-10,135894.34
S02,Annapurna Koramangala,Baby Care,Sunday,2024-10,143161.66
S02,Annapurna Koramangala,Baby Care,Thursday,2024-10,99953.24
S02,Annapurna Koramangala,Baby Care,Tuesday,2024-10,147558.22
S02,Annapurna Koramangala,Baby Care,Wednesday,2024-10,125189.65
S02,Annapurna Koramangala,Bakery,Friday,2024-10,10934.07
S02,Annapurna Koramangala,Bakery,Monday,2024-10,14528.58
S02,Annapurna Koramangala,Bakery,Saturday,2024-10,24911.75
S02,Annapurna Koramangala,Bakery,Sunday,2024-10,25177.96
S02,Annapurna Koramangala,Bakery,Thursday,2024-10,16675.79
S02,Annapurna Koramangala,Bakery,Tuesday,2024-10,17535.04
